brand,model,engine_cc,max_power_bhp,kerb_weight_kg,fuel_type,transmission,kilometers_driven,fuel_efficiency_kmpl
Tata,Harrier,2000,181.1,1802,Diesel,Manual,149205,21.3
Kia,Seltos,1800,130.3,1875,Diesel,Manual,10637,22.2
Nissan,Sunny,2200,152.4,1608,Diesel,Automatic,101639,19.1
BMW,320i,2200,125.2,1410,Diesel,Automatic,40834,21.9
Honda,WR-V,1800,115.1,1876,Petrol,Automatic,59137,20.4
Toyota,Glanza,1600,88.8,954,Diesel,Automatic,189615,22.2
Tata,Altroz,2000,167.3,938,Petrol,Automatic,149296,20.8
Volkswagen,Vento,1600,130.0,1386,Petrol,Automatic,120766,20.9
BMW,520d,1200,80.0,1728,Diesel,Manual,71670,24.1
Kia,Sonet,1000,60.2,1013,Diesel,Automatic,70455,23.5
BMW,320i,1800,166.5,1753,Diesel,Automatic,55283,20.8
Toyota,Camry,2200,187.4,1349,Diesel,Automatic,47340,20.1
Nissan,Kicks,2200,124.5,1254,Diesel,Automatic,172316,20.2
Hyundai,Verna,2200,136.9,1461,Diesel,Automatic,81174,20.0
Hyundai,i10,1200,113.2,1280,Diesel,Automatic,55130,22.6
Nissan,Sunny,1200,110.8,1392,Petrol,Automatic,93550,23.2
Honda,Civic,1000,75.3,1825,Diesel,Manual,112298,23.7
Ford,Figo,1800,141.6,928,Diesel,Manual,39047,22.5
Honda,City,1500,126.9,1221,Petrol,Manual,88574,21.9
Volkswagen,Taigun,2000,111.8,1571,Petrol,Manual,77382,19.9
Honda,Jazz,1000,92.8,1591,Petrol,Automatic,25522,22.9
Tata,Tiago,1000,73.9,1056,Diesel,Manual,3580,25.3
Kia,Carens,1600,91.0,1749,Petrol,Automatic,46608,20.6
Toyota,Corolla,1200,112.1,917,Diesel,Manual,171569,26.3
Honda,Amaze,1600,112.7,1550,Petrol,Manual,158182,21.4
Volkswagen,Vento,1600,88.6,1259,Diesel,Manual,157587,25.3
Nissan,Kicks,1800,134.1,1722,Diesel,Manual,196379,23.2
Kia,Seltos,1500,124.7,1690,Diesel,Manual,21575,21.9
Honda,City,1600,121.5,1735,Petrol,Manual,199135,20.4
Maruti Suzuki,Ciaz,2500,224.6,1131,Petrol,Manual,1266,17.5
BMW,X1,1000,57.2,1478,Petrol,Manual,128392,22.6
Tata,Harrier,1500,83.4,1717,Petrol,Manual,32193,23.1
Honda,City,1800,114.0,998,Petrol,Manual,104767,21.6
Toyota,Corolla,1200,104.6,1293,Petrol,Manual,130437,24.1
Kia,Carens,1500,86.5,1411,Petrol,Manual,63913,22.5
Ford,Aspire,1500,103.8,1458,Diesel,Automatic,123073,20.5
Toyota,Glanza,1800,137.9,1479,Petrol,Automatic,129372,19.6
Ford,Freestyle,1500,93.9,909,Diesel,Manual,133249,23.1
Honda,Amaze,1600,121.3,1678,Diesel,Manual,114016,22.5
Honda,Amaze,1000,76.2,1756,Diesel,Manual,122050,26.1
BMW,520d,1500,114.7,1883,Diesel,Automatic,77022,23.2
Volkswagen,Polo,2000,143.3,1360,Diesel,Manual,27422,21.5
BMW,520d,2500,223.3,885,Petrol,Automatic,139521,16.7
Ford,Freestyle,2500,151.6,1495,Petrol,Manual,5563,19.3
Maruti Suzuki,Swift,1500,94.6,1466,Petrol,Automatic,157996,19.1
Tata,Harrier,1200,95.4,1818,Diesel,Automatic,178563,24.2
Maruti Suzuki,Baleno,2500,231.0,1797,Petrol,Automatic,37558,16.6
Nissan,Kicks,2200,122.6,856,Diesel,Automatic,186359,21.1
Kia,Sonet,1000,74.5,1783,Diesel,Manual,1387,24.4
Kia,Sonet,1600,96.6,1734,Petrol,Manual,90534,22.1
Ford,Figo,2500,141.2,1676,Diesel,Automatic,92837,20.5
Maruti Suzuki,Baleno,2500,186.7,1143,Petrol,Automatic,42164,17.0
Hyundai,Creta,2200,170.0,1640,Diesel,Manual,109172,22.6
Maruti Suzuki,Baleno,1500,112.3,862,Petrol,Automatic,148331,21.7
Toyota,Glanza,1600,123.6,1042,Diesel,Manual,57072,23.1
Tata,Nexon,1200,82.7,1147,Petrol,Automatic,102789,21.9
Nissan,Micra,1600,125.6,1316,Diesel,Manual,67580,22.3
Ford,Figo,1600,92.2,1782,Petrol,Manual,138085,21.3
Tata,Altroz,2500,236.8,1822,Diesel,Manual,157378,19.8
Toyota,Corolla,1200,102.1,1718,Petrol,Automatic,131498,23.2
Honda,Civic,1500,125.6,1192,Petrol,Automatic,95775,21.1
Kia,Carens,1600,127.1,1360,Diesel,Manual,98668,23.7
Nissan,Micra,1000,92.9,1325,Diesel,Automatic,33125,24.4
Maruti Suzuki,Baleno,2000,174.3,1440,Diesel,Automatic,108443,22.5
BMW,X3,1000,66.6,1612,Diesel,Manual,147038,24.6
Ford,Freestyle,2000,132.2,1409,Diesel,Manual,170861,21.3
Kia,Sonet,1500,105.2,1339,Diesel,Automatic,59510,22.2
Honda,Amaze,1800,168.0,1377,Diesel,Manual,199584,24.1
Nissan,Micra,2200,205.6,931,Petrol,Automatic,29381,19.4
Volkswagen,Vento,2000,184.9,1468,Diesel,Automatic,1860,21.8
Volkswagen,Polo,1000,70.7,1378,Petrol,Automatic,180280,23.3
Kia,Carens,1200,68.3,1456,Petrol,Manual,103036,22.3
Maruti Suzuki,Baleno,2000,184.5,1795,Petrol,Automatic,59027,20.6
Honda,Jazz,1200,112.8,1161,Diesel,Manual,52698,26.5
Ford,Ecosport,1600,141.1,1890,Petrol,Manual,32926,20.5
Hyundai,Verna,1600,123.6,1050,Petrol,Automatic,68361,20.8
Kia,Seltos,2000,122.9,915,Diesel,Automatic,39433,19.9
Hyundai,i20,1600,123.2,1826,Petrol,Automatic,105387,19.1
Maruti Suzuki,Swift,1800,132.6,1898,Diesel,Automatic,123427,22.1
Tata,Altroz,1200,86.6,1049,Diesel,Automatic,64423,23.6
Maruti Suzuki,Dzire,1600,121.4,1710,Petrol,Automatic,60012,21.9
Toyota,Corolla,2500,182.9,1052,Diesel,Automatic,6337,21.0
Maruti Suzuki,Baleno,1200,102.3,1532,Diesel,Manual,86787,23.4
Ford,Freestyle,1200,98.0,1725,Diesel,Automatic,161648,23.5
Maruti Suzuki,WagonR,1200,77.2,855,Diesel,Automatic,85151,23.9
Maruti Suzuki,Baleno,1600,120.0,1253,Diesel,Automatic,135766,22.1
Maruti Suzuki,Swift,2000,139.9,1105,Diesel,Automatic,67550,21.5
Toyota,Corolla,1000,83.4,882,Diesel,Manual,106918,23.9
Maruti Suzuki,WagonR,1000,79.8,1048,Diesel,Manual,24534,25.6
BMW,X3,1800,164.9,1294,Diesel,Automatic,11308,22.0
BMW,X3,2000,171.1,1058,Diesel,Automatic,53977,22.1
Tata,Tiago,2200,133.2,1814,Petrol,Manual,183659,19.0
Tata,Nexon,1200,96.5,1081,Petrol,Manual,86573,23.2
Volkswagen,Taigun,1200,99.2,1807,Petrol,Manual,143163,21.9
BMW,X3,1500,126.7,1652,Petrol,Manual,125753,22.4
Kia,Seltos,1200,78.5,1821,Petrol,Manual,27771,23.0
Tata,Harrier,2000,166.0,858,Diesel,Automatic,192782,20.4
Honda,Civic,1200,95.5,1168,Diesel,Automatic,100266,22.0
BMW,520d,1600,139.2,1111,Diesel,Automatic,194194,23.2
BMW,X3,2500,162.8,907,Petrol,Automatic,182180,16.6
Ford,Ecosport,1200,101.2,1362,Diesel,Manual,83107,26.5
Maruti Suzuki,Ciaz,1800,166.4,1516,Petrol,Manual,93717,20.8
BMW,320i,1600,134.9,1397,Petrol,Automatic,24998,19.0
Maruti Suzuki,Dzire,1800,125.2,932,Diesel,Automatic,70059,23.7
Volkswagen,Taigun,2000,158.9,1090,Petrol,Manual,87151,20.2
Nissan,Sunny,2500,148.9,1138,Petrol,Automatic,150555,18.7
Maruti Suzuki,WagonR,1000,70.1,1471,Diesel,Manual,153987,24.4
Hyundai,Venue,1800,166.8,931,Petrol,Automatic,137304,21.5
Ford,Ecosport,2500,209.7,1326,Diesel,Automatic,15391,18.3
Hyundai,Creta,1200,76.2,899,Petrol,Automatic,63157,21.3
Nissan,Micra,1000,90.9,1733,Petrol,Manual,153976,22.7
Maruti Suzuki,Dzire,2500,173.5,979,Diesel,Manual,160431,20.2
Nissan,Kicks,1500,129.2,1724,Petrol,Manual,128084,21.4
Maruti Suzuki,Baleno,1000,73.4,1626,Petrol,Automatic,115812,22.7
Hyundai,i20,1200,77.9,1627,Diesel,Automatic,45007,22.1
Kia,Seltos,2200,145.3,1237,Petrol,Manual,42083,21.0
Volkswagen,Vento,1200,95.0,1014,Diesel,Manual,166732,25.8
BMW,X1,1800,163.7,1699,Diesel,Automatic,40141,21.7
Ford,Ecosport,1200,81.2,1443,Diesel,Manual,109192,23.7
Volkswagen,Polo,1200,96.2,1890,Diesel,Manual,2317,22.5
Tata,Altroz,1000,80.7,1797,Diesel,Automatic,195690,21.9
Ford,Freestyle,2200,139.3,1027,Diesel,Automatic,193735,20.4
Honda,Civic,1600,139.0,1812,Petrol,Manual,7573,21.0
Hyundai,Venue,2000,110.5,1236,Diesel,Manual,191571,23.1
BMW,520d,2000,173.2,1581,Petrol,Manual,67066,20.6
Ford,Aspire,2500,222.9,1196,Diesel,Manual,23414,19.4
Hyundai,Verna,2500,185.6,1414,Petrol,Manual,108485,19.8
Maruti Suzuki,Swift,2200,144.3,886,Diesel,Manual,91625,21.9
Kia,Carens,2200,128.7,1379,Diesel,Automatic,6209,18.5
Maruti Suzuki,Dzire,2200,122.4,1611,Diesel,Manual,135571,22.0
Hyundai,i10,2000,162.9,935,Petrol,Manual,48606,21.1
Toyota,Glanza,1200,113.2,1129,Diesel,Automatic,31072,24.2
BMW,320i,1000,68.9,1819,Petrol,Automatic,97249,22.6
Honda,City,2200,135.5,948,Diesel,Automatic,57770,22.8
Volkswagen,Vento,2500,216.1,947,Petrol,Manual,55808,18.0
Maruti Suzuki,Ciaz,2500,194.6,1172,Petrol,Manual,153100,19.5
Tata,Tiago,1800,119.7,1781,Petrol,Manual,143966,20.0
Maruti Suzuki,Dzire,2000,126.6,1178,Petrol,Automatic,152841,20.3
Kia,Carens,2200,154.0,1559,Petrol,Manual,29410,19.2
Nissan,Sunny,2200,202.0,919,Petrol,Manual,67267,19.4
Toyota,Camry,1200,107.9,1051,Petrol,Manual,126707,21.6
Ford,Freestyle,1800,131.3,1193,Diesel,Manual,63968,22.6
Volkswagen,Taigun,1500,92.1,1864,Diesel,Manual,97727,24.6
Tata,Nexon,1800,152.7,1369,Petrol,Manual,28986,22.4
Tata,Altroz,1600,148.1,1729,Petrol,Manual,117779,21.2
Ford,Aspire,1800,165.2,1752,Diesel,Automatic,162598,22.5
BMW,520d,1000,57.7,1344,Petrol,Manual,24533,23.8
Volkswagen,Vento,1800,147.1,1585,Diesel,Manual,190640,22.8
Honda,City,1600,110.9,1304,Diesel,Automatic,123639,22.2
BMW,X3,2200,160.0,1229,Diesel,Manual,46362,21.3
Nissan,Kicks,2500,186.6,1266,Diesel,Manual,25332,19.1
Tata,Nexon,1000,89.6,1407,Diesel,Automatic,172944,23.4
BMW,X1,1800,101.7,1663,Diesel,Manual,167921,21.0
Hyundai,Verna,1800,158.9,1262,Petrol,Automatic,84611,18.9
Maruti Suzuki,Ciaz,1600,144.0,1804,Diesel,Automatic,57101,22.1
Kia,Sonet,2500,197.4,1255,Petrol,Automatic,133292,17.0
Kia,Sonet,1500,103.3,1074,Petrol,Manual,114591,23.0
Maruti Suzuki,Dzire,1500,89.1,1483,Diesel,Manual,43632,23.2
Maruti Suzuki,WagonR,2000,145.0,1849,Diesel,Automatic,184863,20.2
Tata,Nexon,1600,115.2,1407,Petrol,Automatic,188945,20.4
Nissan,Kicks,1600,102.9,1629,Petrol,Manual,8294,21.0
Hyundai,i20,1000,68.6,910,Petrol,Automatic,42822,23.3
Kia,Seltos,1000,66.7,1057,Diesel,Manual,118514,26.1
Ford,Freestyle,1500,108.5,935,Petrol,Manual,98520,23.2
Kia,Sonet,1800,126.0,1030,Petrol,Manual,171236,20.1
Toyota,Innova,1000,74.0,1694,Petrol,Automatic,26285,22.9
Volkswagen,Vento,2500,219.0,1033,Diesel,Manual,156358,22.3
Toyota,Innova,1200,110.7,1044,Petrol,Manual,181674,23.6
Volkswagen,Taigun,1000,81.3,1428,Petrol,Manual,45364,23.5
Honda,WR-V,1600,92.1,1187,Diesel,Automatic,73179,22.7
Volkswagen,Vento,2500,171.6,1747,Petrol,Automatic,42170,18.7
Maruti Suzuki,Baleno,2200,150.9,1094,Petrol,Automatic,126204,19.0
Hyundai,i20,1500,123.1,1180,Petrol,Manual,10781,22.9
Ford,Freestyle,1800,128.3,998,Petrol,Manual,56369,20.2
Kia,Sonet,1800,120.2,1384,Petrol,Automatic,69640,19.2
Nissan,Sunny,2000,142.0,1057,Petrol,Automatic,59442,20.3
Ford,Freestyle,1600,103.5,1264,Petrol,Manual,19002,22.0
Maruti Suzuki,Dzire,2500,197.4,1890,Petrol,Manual,47471,19.6
Hyundai,Creta,2200,152.3,1548,Petrol,Manual,3477,19.9
Tata,Altroz,1600,134.8,1095,Petrol,Manual,70201,22.8
Tata,Tiago,1600,115.2,1465,Petrol,Manual,95721,21.1
Tata,Tiago,2500,192.7,1368,Petrol,Manual,100092,18.7
BMW,320i,1200,101.2,1644,Diesel,Manual,44020,24.0
Tata,Altroz,1200,107.5,1807,Diesel,Manual,151712,23.6
Nissan,Kicks,1500,107.8,1530,Petrol,Automatic,57945,19.8
Maruti Suzuki,Dzire,2000,178.7,1248,Diesel,Automatic,93531,22.6
Tata,Harrier,1200,86.1,1106,Petrol,Automatic,185670,21.3
Ford,Aspire,2200,185.4,1881,Diesel,Automatic,147206,21.5
Tata,Tiago,1800,158.7,1010,Diesel,Automatic,88989,21.0
BMW,X3,2500,218.2,1685,Petrol,Automatic,131427,16.6
Volkswagen,Vento,1800,132.5,1245,Petrol,Manual,78509,22.3
Nissan,Micra,2500,209.9,942,Diesel,Manual,153528,21.0
Nissan,Sunny,1000,57.2,1246,Diesel,Automatic,86972,24.2
Honda,City,2000,143.0,1860,Diesel,Manual,65843,23.1
Volkswagen,Vento,1500,129.1,1077,Diesel,Automatic,170254,24.1
Tata,Tiago,1600,141.5,898,Petrol,Automatic,124452,20.2
BMW,320i,1600,120.8,1529,Diesel,Manual,21075,23.4
Honda,Civic,2200,162.2,1121,Diesel,Manual,140695,21.3
Tata,Harrier,1600,126.4,1586,Diesel,Automatic,84351,20.8
Maruti Suzuki,Dzire,2500,172.5,1738,Diesel,Manual,168740,19.3
Honda,Jazz,1200,75.0,1375,Petrol,Manual,52884,21.8
Volkswagen,Vento,1000,62.4,1144,Petrol,Automatic,132987,22.2
Toyota,Corolla,1500,127.4,1001,Petrol,Automatic,144869,21.2
BMW,X1,1500,117.1,1185,Petrol,Automatic,106300,20.0
Volkswagen,Vento,1200,98.1,925,Petrol,Automatic,6322,21.8
Ford,Ecosport,2000,141.5,1378,Diesel,Automatic,186053,19.3
Ford,Freestyle,2200,145.8,1857,Petrol,Automatic,70719,18.9
Kia,Seltos,2000,189.3,1232,Petrol,Manual,34162,21.6
Honda,Jazz,1500,110.8,1196,Petrol,Automatic,188765,19.8
Honda,City,2000,155.0,1499,Diesel,Manual,143233,20.5
BMW,X1,1800,140.6,1520,Petrol,Automatic,139063,20.9
Maruti Suzuki,Swift,1600,103.0,1126,Diesel,Manual,49765,22.9
Tata,Altroz,1200,80.4,936,Petrol,Manual,156167,21.9
Ford,Aspire,1000,87.7,1120,Petrol,Automatic,101055,21.7
Nissan,Sunny,1800,137.8,1215,Diesel,Manual,137795,23.6
Nissan,Micra,2500,143.8,1653,Petrol,Manual,79526,18.2
Maruti Suzuki,Baleno,1800,104.2,1438,Diesel,Manual,167891,24.2
Ford,Figo,1600,118.9,1392,Petrol,Manual,95591,21.2
Nissan,Micra,1800,159.8,910,Diesel,Manual,80961,24.1
Nissan,Sunny,2000,138.0,1172,Diesel,Automatic,144349,20.7
Hyundai,Creta,2500,199.8,1783,Diesel,Manual,135621,18.6
Toyota,Camry,1600,103.8,1596,Diesel,Manual,118488,24.6
Kia,Seltos,2200,149.8,1485,Petrol,Automatic,135949,19.0
Honda,Amaze,1500,127.0,1814,Petrol,Automatic,191894,20.5
BMW,520d,1200,96.0,985,Diesel,Manual,145961,24.8
Honda,WR-V,1600,140.0,1173,Petrol,Manual,127573,21.6
Kia,Carens,2500,207.7,893,Petrol,Automatic,69124,19.5
Kia,Sonet,2000,166.3,1205,Petrol,Manual,128745,21.7
Maruti Suzuki,Swift,1200,108.9,1240,Diesel,Manual,58568,25.9
Volkswagen,Polo,1000,61.9,883,Diesel,Automatic,100801,24.4
Maruti Suzuki,Swift,1600,95.6,1422,Petrol,Automatic,52960,21.3
Ford,Aspire,2200,194.5,1334,Petrol,Automatic,138210,19.7
BMW,X3,1200,86.4,1269,Diesel,Manual,115718,23.7
Nissan,Kicks,1800,158.6,1272,Diesel,Manual,138926,23.6
Hyundai,i20,1500,101.1,1700,Diesel,Automatic,130242,22.7
Volkswagen,Taigun,2200,169.8,1005,Diesel,Automatic,129783,19.7
Kia,Seltos,1600,123.0,1153,Petrol,Manual,8399,22.0
Honda,WR-V,2000,153.9,1608,Diesel,Automatic,70148,21.9
Ford,Aspire,2200,132.5,912,Petrol,Automatic,72309,18.8
Ford,Freestyle,2000,117.6,1314,Petrol,Automatic,12011,20.0
Ford,Ecosport,1800,131.7,1081,Diesel,Manual,55719,21.5
Tata,Tiago,1500,98.0,1711,Diesel,Automatic,39604,23.3
Maruti Suzuki,Swift,1800,107.4,1042,Diesel,Automatic,174676,21.2
Tata,Altroz,2200,206.7,1657,Petrol,Manual,195033,19.5
Maruti Suzuki,Dzire,1800,156.8,1697,Diesel,Manual,31889,22.4
Ford,Ecosport,1000,75.7,1168,Petrol,Automatic,173107,22.6
Ford,Freestyle,1000,57.5,1096,Petrol,Manual,16498,22.3
Volkswagen,Vento,1600,97.6,1622,Petrol,Automatic,176501,20.9
BMW,520d,1500,90.1,1095,Petrol,Manual,7687,22.7
Volkswagen,Polo,2500,235.3,1283,Petrol,Manual,161486,17.4
Volkswagen,Taigun,2000,125.8,869,Petrol,Manual,33195,19.8
BMW,X1,2200,168.6,1206,Diesel,Automatic,94389,18.9
Ford,Figo,1500,83.4,1435,Diesel,Manual,93777,24.5
BMW,X3,2200,195.4,1441,Petrol,Automatic,84310,17.5
Maruti Suzuki,Dzire,1000,79.5,1388,Petrol,Automatic,6218,21.3
BMW,X3,2500,160.3,929,Diesel,Automatic,88052,19.6
Nissan,Sunny,2500,187.8,1788,Petrol,Manual,134410,18.5
Maruti Suzuki,Dzire,2200,205.4,1877,Diesel,Manual,170069,20.9
Maruti Suzuki,WagonR,2000,166.7,1396,Petrol,Manual,58878,19.0
Ford,Freestyle,2200,164.0,1369,Petrol,Manual,160168,20.7
Tata,Harrier,1200,80.9,979,Petrol,Automatic,149319,20.6
Tata,Tiago,1600,95.5,1218,Petrol,Manual,120116,21.8
Maruti Suzuki,Ciaz,1600,131.6,992,Diesel,Manual,49168,24.1
Honda,Amaze,1200,112.9,1097,Diesel,Manual,37121,24.5
Tata,Nexon,2200,160.1,1202,Diesel,Automatic,79745,21.3
Honda,Jazz,1800,139.3,1213,Petrol,Manual,54309,21.5
Maruti Suzuki,WagonR,2200,203.7,1383,Diesel,Automatic,79368,20.9
Kia,Seltos,1800,127.0,1038,Diesel,Manual,13123,24.4
Maruti Suzuki,Baleno,1800,110.6,1293,Petrol,Manual,69284,21.0
Kia,Seltos,2000,169.6,1601,Petrol,Automatic,138943,18.6
Maruti Suzuki,Baleno,1500,111.3,1480,Diesel,Automatic,180939,23.0
Honda,Amaze,1800,165.1,1091,Diesel,Automatic,112507,22.1
Maruti Suzuki,Dzire,2000,185.9,1788,Petrol,Automatic,80167,18.6
Toyota,Yaris,1800,128.4,1048,Petrol,Automatic,143554,20.7
Ford,Freestyle,2500,203.1,1706,Petrol,Manual,172619,17.9
BMW,X1,1000,91.4,1345,Petrol,Automatic,92564,21.9
Kia,Carens,2500,215.2,958,Diesel,Manual,33079,19.9
Hyundai,i20,1800,123.3,1177,Petrol,Automatic,10370,20.4
Nissan,Sunny,2000,115.7,971,Petrol,Automatic,53062,18.6
BMW,X3,1200,102.1,1379,Diesel,Manual,188650,25.9
Nissan,Kicks,1000,78.6,933,Diesel,Manual,198125,25.4
Nissan,Sunny,2000,174.2,1740,Petrol,Automatic,2116,19.3
BMW,X1,2000,189.9,1635,Diesel,Automatic,84578,21.0
Ford,Aspire,1800,115.0,1077,Petrol,Automatic,24363,19.0
Maruti Suzuki,Dzire,2500,217.3,1727,Petrol,Manual,71076,19.4
Ford,Aspire,1500,127.3,1057,Diesel,Automatic,78908,21.6
Toyota,Corolla,2200,141.3,854,Petrol,Manual,160418,18.8
Honda,Jazz,2000,177.1,1512,Diesel,Automatic,172442,22.3
Nissan,Sunny,1500,90.2,1823,Diesel,Manual,56936,24.7
Ford,Freestyle,1000,58.5,1772,Petrol,Automatic,190469,21.3
BMW,X1,1800,121.4,887,Diesel,Automatic,194228,20.4
Toyota,Innova,2200,134.3,1686,Diesel,Manual,68155,21.0
BMW,X3,1200,89.6,1818,Petrol,Manual,103098,22.9
Kia,Sonet,2500,193.6,1215,Petrol,Automatic,25531,16.7
Volkswagen,Polo,2000,134.0,1560,Diesel,Automatic,38775,21.1
Tata,Tiago,2000,134.2,1394,Diesel,Automatic,51196,21.1
Ford,Freestyle,1200,77.3,1535,Petrol,Manual,174399,22.9
Nissan,Micra,1000,69.7,1119,Petrol,Automatic,120651,21.3
Ford,Figo,2200,136.6,1165,Diesel,Manual,26193,22.0
Toyota,Glanza,2500,214.4,965,Petrol,Automatic,113671,18.5
Tata,Nexon,2500,200.5,900,Diesel,Manual,72987,21.4
Nissan,Sunny,1000,68.4,1662,Diesel,Manual,113619,26.1
Maruti Suzuki,Swift,2500,204.4,1502,Petrol,Automatic,38680,16.5
Toyota,Yaris,1500,116.1,1676,Diesel,Manual,167671,24.6
Toyota,Corolla,1600,94.3,1692,Diesel,Automatic,44477,21.5
Volkswagen,Taigun,2500,210.0,1198,Petrol,Automatic,98030,18.4
Tata,Nexon,1600,140.2,1890,Diesel,Automatic,125673,22.9
BMW,520d,2000,153.1,1338,Diesel,Manual,2946,21.9
Honda,Amaze,2500,195.0,1879,Diesel,Manual,56629,21.5
Kia,Sonet,1600,120.8,1326,Petrol,Manual,134602,23.0
BMW,320i,2500,194.3,1660,Diesel,Manual,12031,21.9
Maruti Suzuki,Ciaz,2500,151.4,1226,Petrol,Automatic,42684,17.9
BMW,X3,1000,71.9,1212,Petrol,Automatic,65907,22.5
Kia,Sonet,1200,107.9,1096,Diesel,Manual,91472,24.1
Ford,Freestyle,1800,130.2,1079,Petrol,Automatic,163219,21.5
Nissan,Sunny,1600,138.4,1369,Diesel,Manual,37471,24.3
Honda,Amaze,1500,128.9,1660,Diesel,Automatic,722,20.9
Maruti Suzuki,WagonR,1600,129.7,922,Diesel,Manual,128903,24.2
Volkswagen,Taigun,1200,84.2,1452,Petrol,Manual,69951,23.7
Volkswagen,Polo,2500,143.8,1238,Diesel,Manual,124032,18.8
BMW,X3,1200,84.2,1373,Diesel,Automatic,143309,22.5
Volkswagen,Taigun,1500,90.3,1435,Petrol,Automatic,73543,19.6
Nissan,Sunny,1600,88.7,1608,Diesel,Manual,29803,22.5
Ford,Figo,2000,173.4,1805,Petrol,Manual,140780,19.3
Kia,Seltos,2000,144.6,1129,Diesel,Automatic,73714,21.8
Ford,Ecosport,2000,174.9,1252,Petrol,Manual,132321,20.9
Volkswagen,Vento,1600,101.2,939,Petrol,Manual,115680,23.0
Ford,Aspire,2500,179.2,1273,Diesel,Automatic,11552,18.4
Hyundai,Venue,1500,102.3,1508,Petrol,Manual,192619,23.1
Hyundai,Venue,2500,231.6,1308,Diesel,Automatic,164899,18.8
BMW,320i,1500,91.8,1208,Petrol,Manual,98779,23.3
Toyota,Innova,1200,88.1,889,Diesel,Manual,21752,26.1
Nissan,Micra,2500,184.4,1730,Petrol,Manual,158753,17.5
