company_name,model,year,km_driven,fuel_type,transmission,engine_cc,max_power_bhp,condition,mileage_kmpl,price_usd
Kia,Carnival,2018,0,Petrol,Automatic,3907,622,Brand New,28.4,42027.65
Kia,Seltos,2019,0,Electric,Automatic,4126,351,Brand New,34.6,40662.75
Ferrari,488,1987,134398,Diesel,Manual,1105,92,Second Hand,14.1,2000.0
Mercedes-Benz,E-Class,1995,0,Petrol,Automatic,991,314,Brand New,28.1,47702.92
Volvo,XC40,1986,163271,Electric,Manual,3338,545,Second Hand,19.4,2000.0
BMW,5 Series,2016,0,Hybrid,Manual,3358,405,Brand New,11.9,93507.95
Tata,Nexon,2016,0,Petrol,Automatic,3867,685,Brand New,11.6,32830.53
Kia,Seltos,1995,210231,Diesel,Automatic,977,69,Second Hand,11.6,2000.0
Lamborghini,Huracan,1988,189826,Electric,Manual,3321,122,Second Hand,29.3,2000.0
McLaren,720S,2013,0,Hybrid,Manual,4288,271,Brand New,33.6,215826.72
Ferrari,Roma,2016,77864,Petrol,Manual,1829,161,Second Hand,12.0,52751.35
Ford,Endeavour,1996,0,Petrol,Manual,3630,386,Brand New,18.2,11947.43
Mercedes-Benz,E-Class,2022,213413,Petrol,Automatic,3943,633,Second Hand,11.7,71180.31
Toyota,RAV4,2004,41353,Petrol,Manual,2463,81,Second Hand,21.1,2000.0
Toyota,Camry,2016,0,Diesel,Manual,2426,560,Brand New,30.6,12144.03
Ford,Mustang,2001,0,Diesel,Automatic,4064,652,Brand New,32.5,27581.25
Rolls-Royce,Phantom,2007,173438,Hybrid,Manual,4609,429,Second Hand,19.0,26911.26
BMW,5 Series,1995,0,Electric,Manual,3044,510,Brand New,29.2,70405.33
Rolls-Royce,Ghost,1996,0,Petrol,Automatic,1533,287,Brand New,23.7,278427.12
Audi,Q5,1986,148872,Petrol,Automatic,3924,661,Second Hand,34.8,2000.0
Lamborghini,Huracan,2020,0,Diesel,Manual,2026,583,Brand New,23.8,385878.85
Hyundai,Creta,1989,0,Diesel,Manual,4080,336,Brand New,8.2,14699.35
Mahindra,Scorpio,1991,0,Electric,Automatic,3548,130,Brand New,28.1,11453.29
Nissan,Micra,2009,128220,Petrol,Automatic,1076,126,Second Hand,24.1,2000.0
Kia,Carnival,2019,161194,Hybrid,Manual,1387,383,Second Hand,15.5,2863.82
Ford,Figo,1996,34072,Hybrid,Manual,4707,62,Second Hand,11.4,2000.0
Ferrari,Roma,1991,0,Diesel,Automatic,4249,630,Brand New,26.6,214824.64
Lamborghini,Aventador,1992,20999,Diesel,Automatic,4982,140,Second Hand,23.0,2000.0
Porsche,911,2022,217529,Electric,Manual,2613,113,Second Hand,30.7,36747.95
McLaren,720S,2014,237458,Petrol,Manual,906,639,Second Hand,18.8,97671.3
Audi,Q5,2006,102168,Electric,Automatic,3896,421,Second Hand,10.3,2000.0
Honda,Civic,1991,0,Diesel,Automatic,4875,164,Brand New,20.3,31100.35
Land Rover,Range Rover,1986,0,Petrol,Automatic,3655,592,Brand New,15.6,74474.05
Ford,Endeavour,2023,181769,Diesel,Automatic,1587,203,Second Hand,14.2,12915.58
Rolls-Royce,Ghost,2014,0,Diesel,Manual,3715,254,Brand New,22.5,243239.0
Mercedes-Benz,GLA,2022,58983,Hybrid,Manual,2006,352,Second Hand,23.5,59171.47
McLaren,570S,2022,0,Hybrid,Manual,1335,427,Brand New,13.2,200321.58
Kia,Carnival,2016,0,Electric,Manual,3321,334,Brand New,31.4,14446.66
Kia,Carnival,2021,0,Petrol,Manual,4674,212,Brand New,34.5,26085.49
Honda,Accord,2023,0,Electric,Automatic,1501,98,Brand New,32.3,25356.17
Volvo,XC40,1999,187415,Petrol,Manual,1340,336,Second Hand,34.7,2000.0
Nissan,Micra,1991,68910,Electric,Automatic,4463,313,Second Hand,23.7,2000.0
BMW,X3,1999,99791,Electric,Manual,2240,541,Second Hand,25.4,2000.0
Kia,Carnival,1997,241578,Petrol,Manual,4340,133,Second Hand,10.7,2000.0
Honda,CRV,2024,26127,Electric,Automatic,3009,479,Second Hand,15.1,8230.84
Ferrari,Roma,2012,14552,Petrol,Manual,2449,331,Second Hand,12.7,93928.16
McLaren,570S,1991,117911,Hybrid,Manual,3516,358,Second Hand,23.7,2000.0
Nissan,Kicks,1999,143534,Petrol,Automatic,4263,394,Second Hand,22.0,2000.0
Nissan,Micra,2019,0,Diesel,Automatic,4420,266,Brand New,13.2,9255.86
Porsche,Macan,2012,0,Petrol,Manual,3723,354,Brand New,26.3,103445.56
McLaren,720S,2024,0,Hybrid,Automatic,4713,576,Brand New,10.9,205566.29
Land Rover,Discovery,1994,137623,Diesel,Automatic,3206,67,Second Hand,25.8,2000.0
BMW,5 Series,2024,0,Electric,Automatic,2576,306,Brand New,30.3,53809.66
Volvo,XC60,2021,0,Petrol,Manual,3190,568,Brand New,27.9,78169.31
Volvo,XC40,2001,0,Hybrid,Automatic,2422,630,Brand New,25.4,103645.45
Tesla,Model 3,1992,0,Hybrid,Automatic,1138,599,Brand New,19.5,328470.61
Toyota,RAV4,2021,0,Electric,Automatic,1208,328,Brand New,28.4,25187.07
Kia,Carnival,2000,62512,Petrol,Manual,1635,377,Second Hand,20.5,2000.0
Ford,Endeavour,2019,12429,Hybrid,Manual,972,562,Second Hand,9.5,22594.99
Nissan,Micra,1993,71077,Petrol,Manual,3978,152,Second Hand,19.0,2000.0
Nissan,Kicks,2001,243668,Hybrid,Manual,2110,664,Second Hand,19.0,2000.0
Nissan,Magnite,2020,0,Hybrid,Manual,3818,360,Brand New,16.4,13546.33
Porsche,Cayenne,2005,202898,Electric,Manual,3146,437,Second Hand,31.1,5752.76
McLaren,570S,1995,0,Hybrid,Automatic,4798,142,Brand New,16.0,299092.11
Tesla,Model 3,2016,9071,Hybrid,Manual,4700,152,Second Hand,10.1,80313.06
Mahindra,XUV500,1994,14384,Electric,Automatic,2504,479,Second Hand,28.8,2000.0
BMW,5 Series,2021,0,Petrol,Automatic,3339,319,Brand New,10.6,54351.94
Kia,Seltos,2024,207141,Petrol,Manual,2060,537,Second Hand,24.8,22607.61
Land Rover,Discovery,2011,188903,Electric,Manual,3175,149,Second Hand,26.1,14198.68
Volkswagen,Passat,2019,227875,Electric,Automatic,1857,635,Second Hand,25.1,2765.77
Porsche,Cayenne,2020,0,Diesel,Automatic,1104,338,Brand New,29.8,57317.19
Hyundai,Elantra,2012,123368,Petrol,Manual,1637,219,Second Hand,32.5,2073.74
Ferrari,488,2005,0,Diesel,Automatic,2473,347,Brand New,21.9,317117.65
Ford,Figo,1999,0,Diesel,Automatic,2466,322,Brand New,31.1,22506.39
Audi,Q3,2001,0,Petrol,Automatic,1244,404,Brand New,31.2,73165.95
BMW,3 Series,2020,182419,Electric,Manual,2101,121,Second Hand,11.0,58312.61
Rolls-Royce,Ghost,2021,0,Diesel,Automatic,4248,467,Brand New,14.7,254759.21
Land Rover,Range Rover,2019,0,Petrol,Manual,4941,287,Brand New,10.4,100379.17
Mahindra,Scorpio,1995,0,Petrol,Manual,2733,205,Brand New,20.4,14678.81
Lamborghini,Aventador,2024,94020,Petrol,Automatic,3377,325,Second Hand,19.6,340463.12
